tahun,provinsi,kabupaten,timbulan_harian,timbulan_tahunan,daya_tampung
2022,Banten,Kab. Lebak,591,215885,8030
2022,Banten,Kab. Lebak,591,215885,32850
2022,Banten,Kab. Lebak,591,215885,8030
2022,Banten,Kab. Lebak,591,215885,32850
2020,Banten,Kab. Lebak,514,187706,8030
2019,Banten,Kab. Lebak,511,186504,32850
2019,Banten,Kab. Pandeglang,488,178026,13757
2022,Banten,Kab. Serang,1136,414582,30752
2021,Banten,Kab. Serang,1164,424802,35558
2020,Banten,Kab. Serang,1136,414582,32781
2022,Banten,Kab. Tangerang,2305,841498,498590
2022,Banten,Kab. Tangerang,2305,841498,498590
2019,Banten,Kab. Tangerang,2661,971101,498590
2022,Banten,Kota Cilegon,228,83169,66430
2021,Banten,Kota Cilegon,217,79369,59404
2020,Banten,Kota Cilegon,374,136458,59404
2019,Banten,Kota Cilegon,370,135211,66430
2022,Banten,Kota Serang,585,213464,119515
2020,Banten,Kota Serang,522,190440,119515
2022,Banten,Kota Tangerang,1382,504258,443785
2019,Banten,Kota Tangerang,1584,578038,480705
2022,Banten,Kota Tangerang Selatan,973,355009,104583
2022,Banten,Kota Tangerang Selatan,973,355009,166660
2021,Banten,Kota Tangerang Selatan,799,291659,182142
2019,Banten,Kota Tangerang Selatan,1031,376412,182142
2020,Banten,Kota Tangerang Selatan,1071,390754,182142
2020,D.I. Yogyakarta,Kab. Bantul,526,192022,78601
2019,D.I. Yogyakarta,Kab. Bantul,556,202911,78601
2022,D.I. Yogyakarta,Kab. Gunungkidul,378,137872,18287
2022,D.I. Yogyakarta,Kab. Gunungkidul,378,137872,18287
2020,D.I. Yogyakarta,Kab. Gunungkidul,361,131671,18287
2019,D.I. Yogyakarta,Kab. Gunungkidul,361,131671,18287
2022,D.I. Yogyakarta,Kab. Kulon Progo,177,64731,11680
2022,D.I. Yogyakarta,Kab. Kulon Progo,177,64731,11680
2021,D.I. Yogyakarta,Kab. Kulon Progo,177,64654,9762
2019,D.I. Yogyakarta,Kab. Kulon Progo,169,61774,9762
2020,D.I. Yogyakarta,Kab. Kulon Progo,175,63714,9762
2021,D.I. Yogyakarta,Kab. Sleman,736,268482,98437
2021,D.I. Yogyakarta,Kab. Sleman,736,268482,98437
2020,D.I. Yogyakarta,Kab. Sleman,702,256210,98437
2019,D.I. Yogyakarta,Kab. Sleman,699,255180,98437
2022,D.I. Yogyakarta,Kota Yogyakarta,303,110643,97086
2021,D.I. Yogyakarta,Kota Yogyakarta,327,119502,91120
2020,D.I. Yogyakarta,Kota Yogyakarta,361,131689,91120
2019,D.I. Yogyakarta,Kota Yogyakarta,362,132116,97086
2022,DKI Jakarta,Kab. Adm. Kep. Seribu,18,6531,4368
2022,DKI Jakarta,Kab. Adm. Kep. Seribu,18,6531,4368
2020,DKI Jakarta,Kab. Adm. Kep. Seribu,17,6329,4368
2021,DKI Jakarta,Kab. Adm. Kep. Seribu,18,6429,4630
2019,DKI Jakarta,Kab. Adm. Kep. Seribu,17,6210,4630
2022,DKI Jakarta,Kota Adm. Jakarta Barat,2023,738548,543732
2021,DKI Jakarta,Kota Adm. Jakarta Barat,1998,729093,544015
2020,DKI Jakarta,Kota Adm. Jakarta Barat,1972,719768,544015
2022,DKI Jakarta,Kota Adm. Jakarta Pusat,850,310269,229159
2021,DKI Jakarta,Kota Adm. Jakarta Pusat,847,309298,219405
2020,DKI Jakarta,Kota Adm. Jakarta Pusat,845,308331,219405
2022,DKI Jakarta,Kota Adm. Jakarta Selatan,1954,713301,525366
2021,DKI Jakarta,Kota Adm. Jakarta Selatan,1938,707201,532886
2020,DKI Jakarta,Kota Adm. Jakarta Selatan,1921,701165,532886
2019,DKI Jakarta,Kota Adm. Jakarta Selatan,1905,695190,532886
2022,DKI Jakarta,Kota Adm. Jakarta Timur,2313,844252,622330
2020,DKI Jakarta,Kota Adm. Jakarta Timur,2273,829738,622330
2021,DKI Jakarta,Kota Adm. Jakarta Timur,2293,836961,622330
2019,DKI Jakarta,Kota Adm. Jakarta Timur,2254,822585,622330
2022,DKI Jakarta,Kota Adm. Jakarta Utara,1368,499481,367265
2021,DKI Jakarta,Kota Adm. Jakarta Utara,1355,494455,367759
2020,DKI Jakarta,Kota Adm. Jakarta Utara,1341,489481,367759
2019,DKI Jakarta,Kota Adm. Jakarta Utara,1328,484561,367759
2022,Jawa Barat,Kab. Bandung,1283,468352,146676
2022,Jawa Barat,Kab. Bandung,1283,468352,146676
2021,Jawa Barat,Kab. Bandung,1268,462939,109500
2020,Jawa Barat,Kab. Bandung,1321,482292,109500
2022,Jawa Barat,Kab. Bekasi,2250,821379,224883
2022,Jawa Barat,Kab. Bekasi,2250,821379,224883
2020,Jawa Barat,Kab. Bekasi,1900,693587,224883
2019,Jawa Barat,Kab. Bekasi,1815,662451,223683
2022,Jawa Barat,Kab. Ciamis,575,209758,54093
2022,Jawa Barat,Kab. Ciamis,575,209758,54093
2021,Jawa Barat,Kab. Ciamis,572,208818,54057
2019,Jawa Barat,Kab. Ciamis,567,207072,54057
2020,Jawa Barat,Kab. Ciamis,575,209921,54057
2021,Jawa Barat,Kab. Cirebon,1237,451550,65700
2021,Jawa Barat,Kab. Cirebon,1237,451550,65700
2020,Jawa Barat,Kab. Cirebon,1228,448368,54750
2020,Jawa Barat,Kab. Cirebon,1228,448368,54750
2022,Jawa Barat,Kab. Garut,1112,405970,81483
2022,Jawa Barat,Kab. Garut,1112,405970,81483
2021,Jawa Barat,Kab. Garut,1120,408822,80942
2022,Jawa Barat,Kab. Indramayu,1114,406481,60006
2022,Jawa Barat,Kab. Indramayu,1114,406481,138262
2022,Jawa Barat,Kab. Indramayu,1114,406481,60006
2022,Jawa Barat,Kab. Indramayu,1114,406481,138262
2021,Jawa Barat,Kab. Indramayu,1103,402455,54823
2021,Jawa Barat,Kab. Indramayu,1103,402455,140197
2022,Jawa Barat,Kab. Karawang,1004,366436,127385
